property,description
ad_aweme_source,-unknown-
added_sound_music_info.album,-unknown-
added_sound_music_info.artists.avatar.uri,-unknown-
added_sound_music_info.artists.enter_type,-unknown-
added_sound_music_info.artists.follow_status,-unknown-
added_sound_music_info.artists.follower_status,-unknown-
added_sound_music_info.artists.handle,-unknown-
added_sound_music_info.artists.is_block,-unknown-
added_sound_music_info.artists.is_blocked,-unknown-
added_sound_music_info.artists.is_private_account,-unknown-
added_sound_music_info.artists.is_verified,-unknown-
added_sound_music_info.artists.is_visible,-unknown-
added_sound_music_info.artists.nick_name,-unknown-
added_sound_music_info.artists.sec_uid,-unknown-
added_sound_music_info.artists.status,-unknown-
added_sound_music_info.artists.uid,-unknown-
added_sound_music_info.audition_duration,-unknown-
added_sound_music_info.author,-unknown-
added_sound_music_info.author_deleted,-unknown-
added_sound_music_info.author_position,-unknown-
added_sound_music_info.avatar_medium.height,-unknown-
added_sound_music_info.avatar_medium.uri,-unknown-
added_sound_music_info.avatar_medium.width,-unknown-
added_sound_music_info.avatar_thumb.height,-unknown-
added_sound_music_info.avatar_thumb.uri,-unknown-
added_sound_music_info.avatar_thumb.width,-unknown-
added_sound_music_info.binded_challenge_id,-unknown-
added_sound_music_info.can_not_reuse,-unknown-
added_sound_music_info.collect_stat,-unknown-
added_sound_music_info.commercial_right_type,-unknown-
added_sound_music_info.cover_large.height,-unknown-
added_sound_music_info.cover_large.uri,-unknown-
added_sound_music_info.cover_large.width,-unknown-
added_sound_music_info.cover_medium.height,-unknown-
added_sound_music_info.cover_medium.uri,-unknown-
added_sound_music_info.cover_medium.width,-unknown-
added_sound_music_info.cover_thumb.height,-unknown-
added_sound_music_info.cover_thumb.uri,-unknown-
added_sound_music_info.cover_thumb.width,-unknown-
added_sound_music_info.dmv_auto_show,-unknown-
added_sound_music_info.duration,-unknown-
added_sound_music_info.duration_high_precision.audition_duration_precision,-unknown-
added_sound_music_info.duration_high_precision.duration_precision,-unknown-
added_sound_music_info.duration_high_precision.shoot_duration_precision,-unknown-
added_sound_music_info.duration_high_precision.video_duration_precision,-unknown-
added_sound_music_info.external_song_info,-unknown-
added_sound_music_info.extra,-unknown-
added_sound_music_info.id,-unknown-
added_sound_music_info.id_str,-unknown-
added_sound_music_info.is_audio_url_with_cookie,-unknown-
added_sound_music_info.is_author_artist,-unknown-
added_sound_music_info.is_commerce_music,-unknown-
added_sound_music_info.is_matched_metadata,-unknown-
added_sound_music_info.is_original,-unknown-
added_sound_music_info.is_original_sound,-unknown-
added_sound_music_info.is_pgc,-unknown-
added_sound_music_info.is_play_music,-unknown-
added_sound_music_info.is_shooting_allow,-unknown-
added_sound_music_info.lyric_short_position,-unknown-
added_sound_music_info.matched_pgc_sound.author,-unknown-
added_sound_music_info.matched_pgc_sound.mixed_author,-unknown-
added_sound_music_info.matched_pgc_sound.mixed_title,-unknown-
added_sound_music_info.matched_pgc_sound.music_release_info.group_release_date,-unknown-
added_sound_music_info.matched_pgc_sound.music_release_info.is_new_release_song,-unknown-
added_sound_music_info.matched_pgc_sound.title,-unknown-
added_sound_music_info.matched_song.author,-unknown-
added_sound_music_info.matched_song.chorus_info.duration_ms,-unknown-
added_sound_music_info.matched_song.chorus_info.start_ms,-unknown-
added_sound_music_info.matched_song.cover_medium.height,-unknown-
added_sound_music_info.matched_song.cover_medium.uri,-unknown-
added_sound_music_info.matched_song.cover_medium.width,-unknown-
added_sound_music_info.matched_song.h5_url,-unknown-
added_sound_music_info.matched_song.id,-unknown-
added_sound_music_info.matched_song.performers,-unknown-
added_sound_music_info.matched_song.title,-unknown-
added_sound_music_info.mid,-unknown-
added_sound_music_info.multi_bit_rate_play_info,-unknown-
added_sound_music_info.music_release_info.group_release_date,-unknown-
added_sound_music_info.music_release_info.is_new_release_song,-unknown-
added_sound_music_info.mute_share,-unknown-
added_sound_music_info.offline_desc,-unknown-
added_sound_music_info.owner_handle,-unknown-
added_sound_music_info.owner_id,-unknown-
added_sound_music_info.owner_nickname,-unknown-
added_sound_music_info.play_url.height,-unknown-
added_sound_music_info.play_url.uri,-unknown-
added_sound_music_info.play_url.width,-unknown-
added_sound_music_info.position,-unknown-
added_sound_music_info.prevent_download,-unknown-
added_sound_music_info.preview_end_time,-unknown-
added_sound_music_info.preview_start_time,-unknown-
added_sound_music_info.recommend_status,-unknown-
added_sound_music_info.search_highlight,-unknown-
added_sound_music_info.sec_uid,-unknown-
added_sound_music_info.shoot_duration,-unknown-
added_sound_music_info.source_platform,-unknown-
added_sound_music_info.status,-unknown-
added_sound_music_info.strong_beat_url.height,-unknown-
added_sound_music_info.strong_beat_url.uri,-unknown-
added_sound_music_info.strong_beat_url.width,-unknown-
added_sound_music_info.tag_list,-unknown-
added_sound_music_info.title,-unknown-
added_sound_music_info.tt_to_dsp_song_infos,-unknown-
added_sound_music_info.user_count,-unknown-
added_sound_music_info.video_duration,-unknown-
allow_gift,-unknown-
anchors,-unknown-
anchors_extras,-unknown-
animated_image_info.effect,-unknown-
author_label,-unknown-
author_user_id,-unknown-
author.accept_private_policy,Agreement with privacy policy
author.account_labels,-unknown-
author.account_region,Region where the account is registered
author.ad_cover_url,-unknown-
author.advance_feature_item_order,-unknown-
author.advanced_feature_info,-unknown-
author.apple_account,Apple ID
author.authority_status,-unknown-
author.avatar_168x168.height,-unknown-
author.avatar_168x168.uri,-unknown-
author.avatar_168x168.width,-unknown-
author.avatar_300x300.height,-unknown-
author.avatar_300x300.uri,-unknown-
author.avatar_300x300.width,-unknown-
author.avatar_larger.height,-unknown-
author.avatar_larger.uri,-unknown-
author.avatar_larger.width,-unknown-
author.avatar_medium.height,-unknown-
author.avatar_medium.uri,-unknown-
author.avatar_medium.width,-unknown-
author.avatar_thumb.height,-unknown-
author.avatar_thumb.uri,-unknown-
author.avatar_thumb.width,-unknown-
author.avatar_uri,-unknown-
